Url, Site, Type, Size, Date Created, Date Modified, Sub-Directories, Owner
\\lehi3\www$\AcademicCouncil\1990\90_03_13.htm, AcademicCouncil, .htm, 5319B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_03_20.htm, AcademicCouncil, .htm, 7045B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_04_10.htm, AcademicCouncil, .htm, 8349B, 2006/03/31, 1999/08/23, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_04_17.htm, AcademicCouncil, .htm, 7686B, 2006/03/31, 1999/08/23, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_05_01.htm, AcademicCouncil, .htm, 5259B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_05_02.htm, AcademicCouncil, .htm, 5951B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_05_08.htm, AcademicCouncil, .htm, 5595B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_05_15.htm, AcademicCouncil, .htm, 4262B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_05_22&25.htm, AcademicCouncil, .htm, 5446B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_05_22.htm, AcademicCouncil, .htm, 6072B, 2006/03/31, 1999/09/15, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_06_12.htm, AcademicCouncil, .htm, 6349B, 2006/03/31, 1999/08/25, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_07_10.htm, AcademicCouncil, .htm, 3682B, 2006/03/31, 1999/08/25, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_08_14.htm, AcademicCouncil, .htm, 6519B, 2006/03/31, 1999/08/23, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_09_11.htm, AcademicCouncil, .htm, 10677B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_09_13.htm, AcademicCouncil, .htm, 4019B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_09_18.htm, AcademicCouncil, .htm, 4662B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_09_20.htm, AcademicCouncil, .htm, 5795B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_09_25.htm, AcademicCouncil, .htm, 4426B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_10_02.htm, AcademicCouncil, .htm, 6985B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_10_16.htm, AcademicCouncil, .htm, 7647B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_10_23.htm, AcademicCouncil, .htm, 2180B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_10_30.htm, AcademicCouncil, .htm, 4274B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_11_08.htm, AcademicCouncil, .htm, 2360B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_11_13.htm, AcademicCouncil, .htm, 6649B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_11_20.htm, AcademicCouncil, .htm, 6770B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_11_27.htm, AcademicCouncil, .htm, 4591B, 2006/03/31, 1999/08/31, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_12_04.htm, AcademicCouncil, .htm, 4533B, 2006/03/31, 1999/08/23, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1990\90_12_06.htm, AcademicCouncil, .htm, 3501B, 2006/03/31, 1999/08/23, 2, BUILTIN\Administrators
